"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"912","GTLM","Laurens Vanthoor","1","52.755","52.755","Green","Track","0.492","0.872","10.003","10.366","13.687","5.380","9.216","2.738","140.775"
"911","GTLM","Nick Tandy","1","53.205","53.205","Green","Track","0.496","0.875","10.159","10.348","13.794","5.399","9.081","2.713","139.640"
"25","GTLM","Connor De Phillippi","1","53.495","53.495","Green","Track","0.485","0.860","10.212","10.480","13.760","5.406","9.112","2.704","142.807"
"66","GTLM","Dirk Mueller","1","54.157","54.157","Green","Track","0.497","0.878","10.309","10.554","13.912","5.416","9.052","2.733","139.359"
"3","GTLM","Antonio Garcia","1","54.667","54.667","Green","Track","0.488","0.865","10.443","10.634","14.036","5.437","9.090","2.702","141.929"
"4","GTLM","Oliver Gavin","1","55.159","55.159","Green","Track","0.486","0.879","10.786","10.702","13.969","5.442","9.141","2.713","142.513"
"67","GTLM","Ryan Briscoe","1","55.560","55.560","Green","Track","0.493","0.871","10.525","10.782","14.084","5.412","9.178","2.727","140.490"
"24","GTLM","John Edwards","1","55.920","55.920","Green","Track","0.485","0.862","10.445","11.454","13.793","5.470","9.271","2.730","142.807"
"86","GTD","Trent Hindman","1","56.990","56.990","Green","Track","0.512","0.906","10.431","11.106","14.288","5.469","9.343","2.796","135.276"
"33","GTD","Ben Keating","1","57.617","57.617","Green","Track","0.497","0.884","10.665","11.364","14.358","5.505","9.353","2.766","139.359"
"96","GTD","Robby Foley","1","58.350","58.350","Green","Track","0.501","0.933","10.732","11.441","14.726","5.522","9.474","2.787","138.246"
"9","GTD","Zacharie Robichon","1","58.719","58.719","Green","Track","0.500","0.886","10.636","11.479","14.686","5.611","9.487","2.795","138.523"
"14","GTD","Richard Heistand","1","59.370","59.370","Green","Track","0.506","0.892","10.882","11.461","15.126","5.626","9.409","2.817","136.880"
"73","GTD","Marco Seefried","1","59.644","59.644","Green","Track","0.495","0.890","11.025","11.643","15.014","5.583","9.447","2.780","139.922"
"63","GTD","Cooper MacNeil","1","1:00.080","1:00.080","Green","Track","0.501","0.889","10.956","11.939","14.890","5.579","9.458","2.793","138.246"
"91","GTD","Anthony Imperato","1","1:00.716","1:00.716","Green","Track","0.501","0.884","10.707","11.921","15.115","5.603","9.631","2.829","138.246"
"76","GTD","Matt Plumb","1","1:01.148","1:01.148","Green","Track","0.510","0.904","10.920","11.676","15.369","5.673","9.543","2.853","135.807"
"57","GTD","Christina Nielsen","1","1:01.609","1:01.609","Green","Track","0.501","0.886","10.732","12.047","15.761","5.679","9.475","2.832","138.246"
"11","GTD","John Potter","1","1:02.003","1:02.003","Green","Track","0.511","0.907","10.860","11.783","15.682","5.743","9.569","2.827","135.541"
"48","GTD","Corey Lewis","1","1:02.363","1:02.363","Green","Track","0.494","0.875","10.848","11.772","15.714","5.706","9.607","2.822","140.205"
"12","GTD","Frank Montecalvo","1","1:02.927","1:02.927","Green","Track","0.502","0.888","10.803","12.117","16.046","5.733","9.656","2.838","137.971"
"912","GTLM","Laurens Vanthoor","2","52.025","1:44.780","Green","Track","0.464","0.826","9.795","10.263","13.527","5.345","9.090","2.715","149.270"
"911","GTLM","Nick Tandy","2","52.137","1:45.342","Green","Track","0.460","0.822","9.803","10.299","13.506","5.373","9.146","2.728","150.568"
"25","GTLM","Connor De Phillippi","2","52.131","1:45.626","Green","Track","0.456","0.813","9.878","10.324","13.669","5.234","9.062","2.695","151.889"
"66","GTLM","Dirk Mueller","2","52.395","1:46.552","Green","Track","0.465","0.829","9.823","10.546","13.717","5.356","8.943","2.716","148.949"
"3","GTLM","Antonio Garcia","2","52.414","1:47.081","Green","Track","0.456","0.840","9.897","10.347","13.762","5.365","9.049","2.698","151.889"
"4","GTLM","Oliver Gavin","2","52.224","1:47.383","Green","Track","0.458","0.816","9.858","10.301","13.725","5.371","9.007","2.688","151.226"
"67","GTLM","Ryan Briscoe","2","52.376","1:47.936","Green","Track","0.463","0.825","9.719","10.346","13.831","5.375","9.095","2.722","149.593"
"24","GTLM","John Edwards","2","52.366","1:48.286","Green","Track","0.460","0.819","9.822","10.335","13.614","5.463","9.137","2.716","150.568"
"86","GTD","Trent Hindman","2","53.425","1:50.415","Green","Track","0.473","0.848","9.880","10.748","14.047","5.442","9.210","2.777","146.430"
"33","GTD","Ben Keating","2","53.434","1:51.051","Green","Track","0.467","0.832","10.017","10.753","13.828","5.482","9.300","2.755","148.311"
"96","GTD","Robby Foley","2","53.589","1:51.939","Green","Track","0.471","0.841","9.973","10.678","13.968","5.508","9.372","2.778","147.052"
"9","GTD","Zacharie Robichon","2","53.846","1:52.565","Green","Track","0.473","0.850","9.991","10.612","14.177","5.512","9.430","2.801","146.430"
"14","GTD","Richard Heistand","2","53.970","1:53.340","Green","Track","0.474","0.849","10.030","10.745","14.148","5.580","9.338","2.806","146.121"
"73","GTD","Marco Seefried","2","53.974","1:53.618","Green","Track","0.472","0.842","9.998","10.949","14.108","5.529","9.312","2.764","146.740"
"63","GTD","Cooper MacNeil","2","54.136","1:54.216","Green","Track","0.472","0.842","10.115","10.744","14.168","5.589","9.418","2.788","146.740"
"91","GTD","Anthony Imperato","2","54.120","1:54.836","Green","Track","0.479","0.853","9.872","10.735","14.240","5.505","9.608","2.828","144.596"
"76","GTD","Matt Plumb","2","54.162","1:55.310","Green","Track","0.482","0.858","10.069","10.812","14.158","5.536","9.417","2.830","143.696"
